t (s),R (m),z (m),z lower limit (m),z upper limit (m),rho pol,rho pol lower limit,rho pol upper limit
1.5312498,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5520848,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5729198000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5937548000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6145898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6354248,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6562598000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6770948,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6979298,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7187648000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7395998000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7604348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7812698,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8021048000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8229398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8437748,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8646098000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8854448000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9062798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9271148,1.46249840728353,-0.8700781928558913,-0.9319848473575085,-0.8084110183724869,0.9966601729393005,0.9867383241653442,1.0014175176620483
1.9479498000000002,1.4615709480647006,-0.875374736706234,-0.9419818978365273,-0.8090644530851437,0.9972746968269348,0.9873557686805725,1.0013971328735352
1.9687848000000001,1.4503078509228613,-0.9291916322571452,-0.9718622552770467,-0.8866508359160066,1.0005191564559937,0.9980857372283936,1.0005978345870972
1.9896198,1.4464864831641289,-0.9534761539071935,-0.9826018747776827,-0.924453801012578,1.000514268875122,1.0001814365386963,0.9996700286865234
2.0104548,1.447463762793661,-0.9525153672165781,-0.9804007422466479,-0.9247469590935478,1.0005147457122803,1.0001851320266724,0.9996983408927917
2.0312898,1.4488959827098864,-0.9512498417728892,-0.9810573356589687,-0.9216136729014179,1.0006519556045532,1.0001376867294312,0.9998669624328613
2.0521248,1.4494720679493962,-0.9501014691722313,-0.9805274404259833,-0.9198643680137608,1.000777244567871,0.9999884963035583,1.0002292394638062
2.0729598,1.449463215715995,-0.9503296643514311,-0.9807546474528605,-0.9200951036044307,1.0007187128067017,1.0000437498092651,0.9999822974205017
2.0937948,1.4497484155353326,-0.9493124558947952,-0.979826367023975,-0.9189915010629623,1.0007258653640747,0.9999347925186157,1.00007963180542
2.1146298000000003,1.4497212217828024,-0.9475115373183619,-0.9783293776347597,-0.9168747215081903,1.000766634941101,0.9999361038208008,1.0001780986785889
2.1354648000000003,1.44988417791367,-0.9456751522672937,-0.9765691996986675,-0.9149537784963162,1.000698208808899,0.9996894598007202,1.0001988410949707
2.1562998,1.4500870027704889,-0.9446751724142998,-0.9754373108540944,-0.9140831766578632,1.0007617473602295,0.9997314810752869,1.000329613685608
2.1771348,1.450415216224094,-0.9437938389853507,-0.9744169590233183,-0.9133433525828367,1.0007166862487793,0.9996345043182373,1.0003633499145508
2.1979698,1.4512809540273899,-0.9431250776406851,-0.9739503846514171,-0.9124983189601359,1.0007425546646118,0.9995560646057129,1.0005534887313843
2.2188048,1.4518295282313796,-0.9424534116717419,-0.9733287103796039,-0.9117902272868293,1.0006585121154785,0.9993708729743958,1.000427007675171
2.2396398,1.4524934155880735,-0.9416445376010434,-0.972287022423148,-0.9112262929757291,1.0006407499313354,0.9992478489875793,1.0006015300750732
2.2604748000000003,1.4533898263410006,-0.9410780479412866,-0.9716481972547076,-0.9107556947195361,1.00065016746521,0.9991942644119263,1.000679612159729
2.2813098000000003,1.4543529843768082,-0.9395217218754317,-0.9703392897265769,-0.908974713431537,1.0006239414215088,0.9990789294242859,1.0007280111312866
2.3021448,1.4555519919362925,-0.9384463726382958,-0.9698184395433562,-0.9073858736758236,1.0004594326019287,0.9987432956695557,1.0006296634674072
2.3229798,1.4563175777985211,-0.936311569343653,-0.9725564711367181,-0.9004911720010903,1.0003316402435303,0.9979875087738037,1.0006810426712036
2.3438148,1.457904388785329,-0.9315621747353603,-0.97092232225647,-0.8927195005009673,1.0002331733703613,0.9973698854446411,1.0007771253585815
2.3646498,1.4595314893945663,-0.9238869034832431,-0.9660068100226802,-0.8823369483808998,0.9998539686203003,0.9960755109786987,1.000889539718628
2.3854848,1.4594585407640277,-0.9224803641216656,-0.9647723005278485,-0.8807386541199917,0.9996845722198486,0.9956474900245667,1.000922679901123
2.4063198000000003,1.459422799253602,-0.9219771434779149,-0.9649307738918699,-0.8795815501380608,0.9995825290679932,0.995375394821167,1.0010027885437012
2.4271548000000003,1.4582099496030256,-0.9213428780782545,-0.965767361705355,-0.877431984689913,0.9995787143707275,0.9953720569610596,1.00090491771698
2.4479898,1.459050644448976,-0.9179886450628235,-0.9641850360411649,-0.8723475393434551,0.9994083642959595,0.9945709109306335,1.0010546445846558
2.4688248,1.45967726156626,-0.9131948293442396,-0.96309539726177,-0.8639002579518956,0.9988111853599548,0.9928276538848877,1.0009419918060303
2.4896598,1.45918111853335,-0.9135879004504283,-0.9639910945857537,-0.8637734217071084,0.998826801776886,0.9927772879600525,1.000995397567749
2.5104948,1.4594972401792328,-0.9123898451054108,-0.9630439329778849,-0.8623320433844633,0.998785138130188,0.9926421046257019,1.0010325908660889
